#,Date Heure(GMT+01:00),Température1(°C),Température2(°C),Température3(°C),Température4(°C)
364,05/22/17 07:00:00 AM,285.85299999999995,285.87699999999995,285.756,285.99699999999996
365,05/22/17 07:15:00 AM,285.828,285.85299999999995,285.756,285.94899999999996
366,05/22/17 07:30:00 AM,285.828,285.85299999999995,285.756,285.97299999999996
367,05/22/17 07:45:00 AM,285.804,285.85299999999995,285.756,285.94899999999996
368,05/22/17 08:00:00 AM,285.78,285.828,285.756,285.94899999999996
369,05/22/17 08:15:00 AM,285.756,285.828,285.756,285.94899999999996
370,05/22/17 08:30:00 AM,285.756,285.804,285.756,285.97299999999996
371,05/22/17 08:45:00 AM,285.756,285.804,285.756,285.94899999999996
372,05/22/17 09:00:00 AM,285.73199999999997,285.804,285.73199999999997,285.97299999999996
373,05/22/17 09:15:00 AM,285.70799999999997,285.78,285.73199999999997,285.99699999999996
374,05/22/17 09:30:00 AM,285.70799999999997,285.78,285.73199999999997,285.99699999999996
375,05/22/17 09:45:00 AM,285.68399999999997,285.78,285.73199999999997,285.99699999999996
376,05/22/17 10:00:00 AM,285.68399999999997,285.756,285.73199999999997,286.046
377,05/22/17 10:15:00 AM,285.68399999999997,285.756,285.73199999999997,286.046
378,05/22/17 10:30:00 AM,285.659,285.756,285.73199999999997,286.046
379,05/22/17 10:45:00 AM,285.659,285.73199999999997,285.70799999999997,286.046
380,05/22/17 11:00:00 AM,285.659,285.73199999999997,285.70799999999997,286.046
381,05/22/17 11:15:00 AM,285.635,285.73199999999997,285.70799999999997,286.046
382,05/22/17 11:30:00 AM,285.635,285.73199999999997,285.70799999999997,286.02099999999996
383,05/22/17 11:45:00 AM,285.635,285.70799999999997,285.70799999999997,285.99699999999996
384,05/22/17 12:00:00 PM,285.635,285.70799999999997,285.70799999999997,285.99699999999996
385,05/22/17 12:15:00 PM,285.635,285.70799999999997,285.68399999999997,285.99699999999996
386,05/22/17 12:30:00 PM,285.635,285.70799999999997,285.68399999999997,285.99699999999996
387,05/22/17 12:45:00 PM,285.659,285.70799999999997,285.68399999999997,285.99699999999996
388,05/22/17 01:00:00 PM,285.659,285.70799999999997,285.68399999999997,285.99699999999996
389,05/22/17 01:15:00 PM,285.659,285.70799999999997,285.68399999999997,285.97299999999996
390,05/22/17 01:30:00 PM,285.68399999999997,285.68399999999997,285.659,286.046
391,05/22/17 01:45:00 PM,285.68399999999997,285.68399999999997,285.659,286.046
392,05/22/17 02:00:00 PM,285.68399999999997,285.68399999999997,285.659,286.02099999999996
393,05/22/17 02:15:00 PM,285.70799999999997,285.70799999999997,285.659,286.046
394,05/22/17 02:30:00 PM,285.70799999999997,285.70799999999997,285.659,286.02099999999996
395,05/22/17 02:45:00 PM,285.73199999999997,285.70799999999997,285.659,285.99699999999996
396,05/22/17 03:00:00 PM,285.73199999999997,285.70799999999997,285.659,285.99699999999996
397,05/22/17 03:15:00 PM,285.756,285.70799999999997,285.659,285.99699999999996
398,05/22/17 03:30:00 PM,285.756,285.70799999999997,285.659,285.99699999999996
